Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match	Direction
SB_biofilm_MAG_29_01575	SB_biofilm_MAG_59_07616	A	M	72.938	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_29
SB_biofilm_MAG_29_02246	SB_biofilm_MAG_7_00264	A	I	72.868	no	no	NA
SB_biofilm_MAG_32_00299	SB_biofilm_MAG_20_01227	A	N	74.041	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_32
SB_biofilm_MAG_32_00560	SB_biofilm_MAG_18_02471	A	K	75.854	no	no	NA
SB_biofilm_MAG_32_00876	SB_biofilm_MAG_28_01635	A	L	78.136	no	no	NA
SB_biofilm_MAG_32_01194	SB_biofilm_MAG_68_03250	A	N	74.691	no	no	NA
SB_biofilm_MAG_32_01237	SB_biofilm_MAG_20_02886	A	N	76.217	no	no	NA
SB_biofilm_MAG_32_01322	SB_biofilm_MAG_65_01884	A	N	73.394	no	no	NA
SB_biofilm_MAG_32_01339	SB_biofilm_MAG_28_03457	A	L	72.808	no	no	NA
SB_biofilm_MAG_32_01470	SB_biofilm_MAG_59_06121	A	M	73.389	no	no	NA
SB_biofilm_MAG_32_01502	SB_biofilm_MAG_20_00346	A	N	78.007	no	no	NA
SB_biofilm_MAG_32_01504	SB_biofilm_MAG_53_00300	A	G	76.103	no	no	SB_biofilm_MAG_32-->SB_biofilm_MAG_53
SB_biofilm_MAG_32_02136	SB_biofilm_MAG_41_00844	A	N	75.483	no	no	NA
SB_biofilm_MAG_32_02137	SB_biofilm_MAG_41_00843	A	N	74.506	no	no	NA
SB_biofilm_MAG_32_02344	SB_biofilm_MAG_78_00368	A	K	72.401	no	no	NA
SB_biofilm_MAG_32_02510	SB_biofilm_MAG_53_00302	A	G	79.354	no	no	SB_biofilm_MAG_32-->SB_biofilm_MAG_53
SB_biofilm_MAG_32_02511	SB_biofilm_MAG_53_00303	A	G	77.586	no	no	SB_biofilm_MAG_32-->SB_biofilm_MAG_53
SB_biofilm_MAG_32_02997	SB_biofilm_MAG_53_03666	A	G	73.798	no	no	NA
SB_biofilm_MAG_32_03348	SB_biofilm_MAG_52_01766	A	K	77.023	no	no	SB_biofilm_MAG_32-->SB_biofilm_MAG_52
SB_biofilm_MAG_32_03560	SB_biofilm_MAG_53_03183	A	G	76.689	no	no	NA
SB_biofilm_MAG_32_03604	SB_biofilm_MAG_28_04627	A	L	73.817	no	no	NA
SB_biofilm_MAG_32_03605	SB_biofilm_MAG_28_04626	A	L	75.562	no	no	NA
SB_biofilm_MAG_32_03797	SB_biofilm_MAG_72_00801	A	N	74.2	no	no	NA
SB_biofilm_MAG_34_03380	SB_biofilm_MAG_33_03108	C	H	70.178	no	no	SB_biofilm_MAG_34-->SB_biofilm_MAG_33
SB_biofilm_MAG_34_04068	SB_biofilm_MAG_24_04690	C	A	75.769	no	no	NA
SB_biofilm_MAG_35_01711	SB_biofilm_MAG_20_00440	A	N	73.829	no	no	NA
SB_biofilm_MAG_35_02075	SB_biofilm_MAG_30_03543	A	D	72.844	no	no	NA
SB_biofilm_MAG_37_00002	SB_biofilm_MAG_71_02451	H	F	74.757	no	no	SB_biofilm_MAG_37-->SB_biofilm_MAG_71
SB_biofilm_MAG_37_00206	SB_biofilm_MAG_10_00632	H	C	70.126	no	no	NA
SB_biofilm_MAG_37_00894	SB_biofilm_MAG_54_01592	H	C	70.182	no	no	SB_biofilm_MAG_54-->SB_biofilm_MAG_37
SB_biofilm_MAG_37_00959	SB_biofilm_MAG_65_04036	H	N	73.846	no	no	NA
SB_biofilm_MAG_37_02774	SB_biofilm_MAG_18_00567	H	K	71.479	no	no	SB_biofilm_MAG_18-->SB_biofilm_MAG_37
SB_biofilm_MAG_37_03193	SB_biofilm_MAG_52_02910	H	K	75.71	no	no	NA
SB_biofilm_MAG_37_03470	SB_biofilm_MAG_16_00017	H	A	71.042	no	no	NA
SB_biofilm_MAG_37_03571	SB_biofilm_MAG_76_02064	H	I	76.013	no	no	NA
SB_biofilm_MAG_37_03808	SB_biofilm_MAG_18_00123	H	K	73.131	no	no	NA
SB_biofilm_MAG_37_03829	SB_biofilm_MAG_68_02421	H	N	73.565	no	no	NA
SB_biofilm_MAG_37_04178	SB_biofilm_MAG_8_00030	H	K	71.892	no	no	SB_biofilm_MAG_8-->SB_biofilm_MAG_37
SB_biofilm_MAG_37_04303	SB_biofilm_MAG_8_03313	H	K	75.77	no	no	NA
SB_biofilm_MAG_37_04348	SB_biofilm_MAG_10_04274	H	C	71.287	no	no	NA
SB_biofilm_MAG_38_00796	SB_biofilm_MAG_54_01252	H	C	70.602	no	no	NA
SB_biofilm_MAG_38_01722	SB_biofilm_MAG_30_03135	H	D	70.233	no	no	SB_biofilm_MAG_38-->SB_biofilm_MAG_30
SB_biofilm_MAG_39_00115	SB_biofilm_MAG_71_01602	E	F	70.349	no	no	NA
SB_biofilm_MAG_39_02419	SB_biofilm_MAG_37_04085	E	H	68.919	no	no	SB_biofilm_MAG_37-->SB_biofilm_MAG_39
SB_biofilm_MAG_3_01870	SB_biofilm_MAG_17_06763	E	B	68.872	no	no	NA
SB_biofilm_MAG_40_00788	SB_biofilm_MAG_34_01491	A	C	71.514	no	no	NA
SB_biofilm_MAG_40_00940	SB_biofilm_MAG_78_01485	A	K	72.87	no	no	NA
SB_biofilm_MAG_40_00942	SB_biofilm_MAG_78_01490	A	K	75.482	no	no	NA
SB_biofilm_MAG_40_01021	SB_biofilm_MAG_20_00187	A	N	80.395	no	no	NA
SB_biofilm_MAG_40_01109	SB_biofilm_MAG_20_00440	A	N	75.207	no	no	NA
SB_biofilm_MAG_40_01496	SB_biofilm_MAG_28_06497	A	L	72.925	no	no	NA
SB_biofilm_MAG_40_01556	SB_biofilm_MAG_66_02260	A	I	72.145	no	no	NA
SB_biofilm_MAG_40_01841	SB_biofilm_MAG_41_00348	A	N	80.075	no	no	NA
SB_biofilm_MAG_40_02021	SB_biofilm_MAG_65_03931	A	N	73.297	no	no	NA
SB_biofilm_MAG_40_02218	SB_biofilm_MAG_84_01884	A	E	69.763	no	no	NA
SB_biofilm_MAG_40_03599	SB_biofilm_MAG_20_01559	A	N	77.586	no	no	NA
SB_biofilm_MAG_40_03880	SB_biofilm_MAG_60_02229	A	H	70.076	no	no	NA
SB_biofilm_MAG_41_00075	SB_biofilm_MAG_28_04626	N	L	75.795	no	no	NA
SB_biofilm_MAG_41_00076	SB_biofilm_MAG_18_02977	N	K	74.378	no	no	NA
SB_biofilm_MAG_41_00083	SB_biofilm_MAG_67_01598	N	A	80.019	no	no	NA
SB_biofilm_MAG_41_00394	SB_biofilm_MAG_52_02726	N	K	72.202	no	no	NA
SB_biofilm_MAG_41_00680	SB_biofilm_MAG_71_02938	N	F	86.704	no	no	SB_biofilm_MAG_41-->SB_biofilm_MAG_71
SB_biofilm_MAG_41_00791	SB_biofilm_MAG_27_00469	N	A	73.765	no	no	NA
SB_biofilm_MAG_41_00802	SB_biofilm_MAG_49_02476	N	I	78.499	no	no	NA
SB_biofilm_MAG_41_00985	SB_biofilm_MAG_13_00259	N	A	73.191	no	no	NA
SB_biofilm_MAG_41_00996	SB_biofilm_MAG_13_02085	N	A	76.736	no	no	NA
SB_biofilm_MAG_41_01120	SB_biofilm_MAG_25_02739	N	A	74.129	no	no	NA
SB_biofilm_MAG_41_01689	SB_biofilm_MAG_58_02299	N	A	94.213	no	yes	NA
SB_biofilm_MAG_41_01774	SB_biofilm_MAG_25_01630	N	A	73.381	no	no	NA
SB_biofilm_MAG_41_01776	SB_biofilm_MAG_16_00699	N	A	75.2	no	no	NA
SB_biofilm_MAG_41_01832	SB_biofilm_MAG_24_02406	N	A	75.206	no	no	NA
SB_biofilm_MAG_41_01923	SB_biofilm_MAG_67_00012	N	A	75.381	no	no	NA
SB_biofilm_MAG_41_01973	SB_biofilm_MAG_32_03328	N	A	73.218	no	no	NA
SB_biofilm_MAG_41_02025	SB_biofilm_MAG_28_01559	N	L	74.952	no	no	NA
SB_biofilm_MAG_41_02176	SB_biofilm_MAG_47_01619	N	A	75.048	no	no	NA
SB_biofilm_MAG_41_02177	SB_biofilm_MAG_47_01618	N	A	75.0	no	no	NA
SB_biofilm_MAG_41_02183	SB_biofilm_MAG_18_02471	N	K	73.486	no	no	NA
SB_biofilm_MAG_41_02237	SB_biofilm_MAG_53_02610	N	G	76.308	no	no	SB_biofilm_MAG_41-->SB_biofilm_MAG_53
SB_biofilm_MAG_41_02317	SB_biofilm_MAG_23_02017	N	K	74.299	no	no	NA
SB_biofilm_MAG_41_02633	SB_biofilm_MAG_53_02278	N	G	72.642	no	no	NA
SB_biofilm_MAG_41_02646	SB_biofilm_MAG_71_01222	N	F	74.208	no	no	SB_biofilm_MAG_41-->SB_biofilm_MAG_71
SB_biofilm_MAG_43_00127	SB_biofilm_MAG_28_05757	M	L	74.2	no	no	NA
SB_biofilm_MAG_43_00883	SB_biofilm_MAG_28_06026	M	L	76.758	no	no	NA
SB_biofilm_MAG_43_01603	SB_biofilm_MAG_34_01733	M	C	77.492	no	no	NA
SB_biofilm_MAG_43_01616	SB_biofilm_MAG_53_02285	M	G	78.808	no	no	NA
SB_biofilm_MAG_43_02513	SB_biofilm_MAG_28_01194	M	L	75.487	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_43
SB_biofilm_MAG_43_03583	SB_biofilm_MAG_28_02924	M	L	75.074	no	no	NA
SB_biofilm_MAG_43_03684	SB_biofilm_MAG_28_04898	M	L	78.571	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_43
SB_biofilm_MAG_43_04492	SB_biofilm_MAG_28_06497	M	L	76.773	no	no	NA
SB_biofilm_MAG_43_04957	SB_biofilm_MAG_28_04626	M	L	78.136	no	no	NA
SB_biofilm_MAG_44_00070	SB_biofilm_MAG_48_03757	N	M	72.0	no	no	NA
SB_biofilm_MAG_44_00555	SB_biofilm_MAG_21_01768	N	A	77.168	no	no	SB_biofilm_MAG_44-->SB_biofilm_MAG_21
SB_biofilm_MAG_44_00728	SB_biofilm_MAG_24_01972	N	A	73.906	no	no	SB_biofilm_MAG_24-->SB_biofilm_MAG_44
SB_biofilm_MAG_44_00777	SB_biofilm_MAG_75_00857	N	A	73.277	no	no	SB_biofilm_MAG_75-->SB_biofilm_MAG_44
SB_biofilm_MAG_44_00958	SB_biofilm_MAG_24_02406	N	A	73.404	no	no	NA
SB_biofilm_MAG_44_00980	SB_biofilm_MAG_24_04690	N	A	75.217	no	no	NA
SB_biofilm_MAG_44_01120	SB_biofilm_MAG_71_02938	N	F	74.553	no	no	NA
SB_biofilm_MAG_44_01194	SB_biofilm_MAG_79_00099	N	A	78.115	no	no	NA
SB_biofilm_MAG_44_01197	SB_biofilm_MAG_58_01002	N	A	77.241	no	no	NA
SB_biofilm_MAG_44_01553	SB_biofilm_MAG_57_01435	N	A	73.659	no	no	NA
SB_biofilm_MAG_44_01933	SB_biofilm_MAG_71_03041	N	F	76.961	no	no	SB_biofilm_MAG_44-->SB_biofilm_MAG_71
SB_biofilm_MAG_44_02403	SB_biofilm_MAG_17_05351	N	B	70.556	no	no	SB_biofilm_MAG_44-->SB_biofilm_MAG_17
SB_biofilm_MAG_44_02617	SB_biofilm_MAG_40_01026	N	A	73.415	no	no	NA
SB_biofilm_MAG_44_03191	SB_biofilm_MAG_28_01635	N	L	75.0	no	no	NA
SB_biofilm_MAG_45_03005	SB_biofilm_MAG_60_02229	E	H	72.423	no	no	NA
SB_biofilm_MAG_46_00795	SB_biofilm_MAG_30_03543	E	D	71.565	no	no	NA
SB_biofilm_MAG_46_00949	SB_biofilm_MAG_66_02413	E	I	71.3	no	no	NA
SB_biofilm_MAG_46_02427	SB_biofilm_MAG_10_02571	E	C	72.578	no	no	NA
SB_biofilm_MAG_46_02521	SB_biofilm_MAG_8_01984	E	K	70.687	no	no	NA
SB_biofilm_MAG_46_03021	SB_biofilm_MAG_61_01244	E	K	70.111	no	no	NA
SB_biofilm_MAG_46_03318	SB_biofilm_MAG_53_02715	E	G	70.474	no	no	NA
SB_biofilm_MAG_46_03731	SB_biofilm_MAG_32_01696	E	A	73.961	no	no	NA
SB_biofilm_MAG_46_04074	SB_biofilm_MAG_28_05518	E	L	70.608	no	no	NA
SB_biofilm_MAG_46_05330	SB_biofilm_MAG_61_01034	E	K	69.85	no	no	NA
SB_biofilm_MAG_47_00621	SB_biofilm_MAG_78_01485	A	K	84.127	no	no	NA
SB_biofilm_MAG_47_00680	SB_biofilm_MAG_65_00817	A	N	80.321	no	no	NA
SB_biofilm_MAG_47_01199	SB_biofilm_MAG_41_02833	A	N	74.816	no	no	NA
SB_biofilm_MAG_47_02396	SB_biofilm_MAG_41_02620	A	N	94.13	no	yes	NA
SB_biofilm_MAG_47_03629	SB_biofilm_MAG_65_01594	A	N	74.149	no	no	NA
SB_biofilm_MAG_47_03770	SB_biofilm_MAG_59_04122	A	M	74.124	no	no	NA
SB_biofilm_MAG_47_03910	SB_biofilm_MAG_71_02094	A	F	76.161	no	no	NA
SB_biofilm_MAG_48_00273	SB_biofilm_MAG_53_02684	M	G	78.469	no	no	SB_biofilm_MAG_48-->SB_biofilm_MAG_53
SB_biofilm_MAG_48_03952	SB_biofilm_MAG_28_03196	M	L	74.043	no	no	NA
SB_biofilm_MAG_48_04722	SB_biofilm_MAG_28_01481	M	L	76.526	no	no	NA
SB_biofilm_MAG_48_05031	SB_biofilm_MAG_28_02482	M	L	80.882	no	no	NA
SB_biofilm_MAG_48_06082	SB_biofilm_MAG_28_02565	M	L	74.725	no	no	NA
SB_biofilm_MAG_49_00295	SB_biofilm_MAG_59_00443	I	M	73.926	no	no	NA
SB_biofilm_MAG_49_01039	SB_biofilm_MAG_27_02924	I	A	74.138	no	no	NA
SB_biofilm_MAG_49_01900	SB_biofilm_MAG_53_03244	I	G	77.759	no	no	NA
SB_biofilm_MAG_49_02172	SB_biofilm_MAG_53_00787	I	G	75.72	no	no	NA
SB_biofilm_MAG_49_02175	SB_biofilm_MAG_28_04178	I	L	92.117	no	yes	NA
SB_biofilm_MAG_49_02177	SB_biofilm_MAG_28_04180	I	L	88.69	no	yes	NA
SB_biofilm_MAG_49_02179	SB_biofilm_MAG_28_04182	I	L	91.919	no	yes	NA
SB_biofilm_MAG_49_02183	SB_biofilm_MAG_53_01360	I	G	79.467	no	no	SB_biofilm_MAG_49-->SB_biofilm_MAG_53
SB_biofilm_MAG_49_02184	SB_biofilm_MAG_53_01359	I	G	77.133	no	no	NA
SB_biofilm_MAG_49_02191	SB_biofilm_MAG_53_00828	I	G	76.611	no	no	SB_biofilm_MAG_49-->SB_biofilm_MAG_53
SB_biofilm_MAG_50_00304	SB_biofilm_MAG_43_01794	A	M	72.802	no	no	NA
SB_biofilm_MAG_50_00393	SB_biofilm_MAG_53_02646	A	G	74.645	no	no	NA
SB_biofilm_MAG_50_01265	SB_biofilm_MAG_20_01931	A	N	73.438	no	no	SB_biofilm_MAG_50-->SB_biofilm_MAG_20
SB_biofilm_MAG_50_01518	SB_biofilm_MAG_20_00187	A	N	75.426	no	no	NA
SB_biofilm_MAG_50_01665	SB_biofilm_MAG_28_04402	A	L	73.837	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_50
SB_biofilm_MAG_50_01668	SB_biofilm_MAG_20_00900	A	N	73.005	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_50
SB_biofilm_MAG_50_01790	SB_biofilm_MAG_71_02094	A	F	74.154	no	no	NA
SB_biofilm_MAG_50_02348	SB_biofilm_MAG_7_01531	A	I	73.592	no	no	NA
SB_biofilm_MAG_50_02913	SB_biofilm_MAG_20_00440	A	N	74.716	no	no	NA
SB_biofilm_MAG_51_01348	SB_biofilm_MAG_3_00683	A	E	70.083	no	no	NA
SB_biofilm_MAG_52_00636	SB_biofilm_MAG_28_01718	K	L	76.211	no	no	NA
SB_biofilm_MAG_52_01877	SB_biofilm_MAG_28_05146	K	L	77.242	no	no	NA
SB_biofilm_MAG_52_01931	SB_biofilm_MAG_41_02720	K	N	79.673	no	no	SB_biofilm_MAG_52-->SB_biofilm_MAG_41
SB_biofilm_MAG_52_02910	SB_biofilm_MAG_33_02989	K	H	76.262	no	no	NA
SB_biofilm_MAG_52_03228	SB_biofilm_MAG_37_03812	K	H	76.284	no	no	NA
SB_biofilm_MAG_52_03273	SB_biofilm_MAG_32_01300	K	A	75.238	no	no	NA
SB_biofilm_MAG_52_03559	SB_biofilm_MAG_66_00059	K	I	73.859	no	no	NA
SB_biofilm_MAG_54_00825	SB_biofilm_MAG_65_03400	C	N	74.954	no	no	NA
SB_biofilm_MAG_54_01559	SB_biofilm_MAG_43_01502	C	M	71.721	no	no	NA
SB_biofilm_MAG_54_01934	SB_biofilm_MAG_28_01559	C	L	72.461	no	no	NA
SB_biofilm_MAG_54_02955	SB_biofilm_MAG_18_00723	C	K	74.38	no	no	NA
SB_biofilm_MAG_55_00125	SB_biofilm_MAG_17_06994	E	B	69.198	no	no	NA
SB_biofilm_MAG_55_01918	SB_biofilm_MAG_8_01984	E	K	69.164	no	no	SB_biofilm_MAG_8-->SB_biofilm_MAG_55
SB_biofilm_MAG_56_01262	SB_biofilm_MAG_33_01573	E	H	72.574	no	no	NA
SB_biofilm_MAG_56_01687	SB_biofilm_MAG_10_02241	E	C	70.554	no	no	NA
SB_biofilm_MAG_56_01704	SB_biofilm_MAG_37_03340	E	H	72.065	no	no	NA
SB_biofilm_MAG_56_02442	SB_biofilm_MAG_73_01962	E	B	71.942	no	no	NA
SB_biofilm_MAG_56_02969	SB_biofilm_MAG_65_00345	E	N	70.538	no	no	NA
SB_biofilm_MAG_56_03209	SB_biofilm_MAG_66_02413	E	I	70.536	no	no	NA
SB_biofilm_MAG_56_03296	SB_biofilm_MAG_44_00254	E	N	69.499	no	no	SB_biofilm_MAG_56-->SB_biofilm_MAG_44
SB_biofilm_MAG_56_03692	SB_biofilm_MAG_37_01057	E	H	69.747	no	no	NA
SB_biofilm_MAG_56_03807	SB_biofilm_MAG_34_00658	E	C	69.811	no	no	NA
SB_biofilm_MAG_56_04517	SB_biofilm_MAG_18_03126	E	K	70.428	no	no	NA
SB_biofilm_MAG_56_04648	SB_biofilm_MAG_71_01111	E	F	69.881	no	no	NA
SB_biofilm_MAG_57_00028	SB_biofilm_MAG_43_02312	A	M	75.63	no	no	NA
SB_biofilm_MAG_57_00655	SB_biofilm_MAG_28_03196	A	L	73.039	no	no	SB_biofilm_MAG_57-->SB_biofilm_MAG_28
SB_biofilm_MAG_57_01095	SB_biofilm_MAG_60_02229	A	H	73.111	no	no	NA
SB_biofilm_MAG_57_01157	SB_biofilm_MAG_20_00440	A	N	77.16	no	no	NA
SB_biofilm_MAG_57_01171	SB_biofilm_MAG_53_00491	A	G	76.073	no	no	NA
SB_biofilm_MAG_57_02152	SB_biofilm_MAG_65_01903	A	N	74.15	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_57
SB_biofilm_MAG_57_02219	SB_biofilm_MAG_59_05516	A	M	73.698	no	no	NA
SB_biofilm_MAG_57_02487	SB_biofilm_MAG_43_01794	A	M	72.953	no	no	NA
SB_biofilm_MAG_57_02804	SB_biofilm_MAG_20_01677	A	N	73.693	no	no	NA
SB_biofilm_MAG_58_00355	SB_biofilm_MAG_23_03286	A	K	75.921	no	no	NA
SB_biofilm_MAG_58_00448	SB_biofilm_MAG_53_03377	A	G	74.15	no	no	NA
SB_biofilm_MAG_58_00666	SB_biofilm_MAG_20_00346	A	N	75.782	no	no	NA
SB_biofilm_MAG_58_01235	SB_biofilm_MAG_65_02965	A	N	75.477	no	no	NA
SB_biofilm_MAG_58_01699	SB_biofilm_MAG_78_01485	A	K	81.804	no	no	SB_biofilm_MAG_58-->SB_biofilm_MAG_78
SB_biofilm_MAG_58_01700	SB_biofilm_MAG_78_01489	A	K	86.16	no	no	SB_biofilm_MAG_58-->SB_biofilm_MAG_78
SB_biofilm_MAG_58_01701	SB_biofilm_MAG_78_01490	A	K	85.676	no	no	SB_biofilm_MAG_78-->SB_biofilm_MAG_58
SB_biofilm_MAG_58_01936	SB_biofilm_MAG_65_03151	A	N	73.713	no	no	NA
SB_biofilm_MAG_58_02009	SB_biofilm_MAG_41_02619	A	N	77.859	no	yes	NA
SB_biofilm_MAG_58_02133	SB_biofilm_MAG_26_02108	A	I	73.705	no	no	NA
SB_biofilm_MAG_58_02170	SB_biofilm_MAG_65_00817	A	N	79.216	no	no	NA
SB_biofilm_MAG_58_02403	SB_biofilm_MAG_44_02296	A	N	75.878	no	no	NA
SB_biofilm_MAG_58_02564	SB_biofilm_MAG_71_02094	A	F	75.786	no	no	NA
SB_biofilm_MAG_58_03046	SB_biofilm_MAG_28_05682	A	L	72.986	no	no	NA
SB_biofilm_MAG_58_03097	SB_biofilm_MAG_41_02833	A	N	75.711	no	no	NA
SB_biofilm_MAG_58_03099	SB_biofilm_MAG_41_02835	A	N	79.264	no	no	NA
SB_biofilm_MAG_59_00187	SB_biofilm_MAG_28_05655	M	L	80.791	no	no	NA
SB_biofilm_MAG_59_00280	SB_biofilm_MAG_28_00663	M	L	79.452	no	no	NA
SB_biofilm_MAG_59_00376	SB_biofilm_MAG_28_06026	M	L	76.817	no	no	NA
SB_biofilm_MAG_59_01431	SB_biofilm_MAG_28_04886	M	L	74.171	no	no	NA
SB_biofilm_MAG_59_01630	SB_biofilm_MAG_71_01422	M	F	73.485	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_71
SB_biofilm_MAG_59_02254	SB_biofilm_MAG_28_02056	M	L	78.862	no	no	NA
SB_biofilm_MAG_59_03032	SB_biofilm_MAG_41_02726	M	N	74.185	no	no	NA
SB_biofilm_MAG_59_03317	SB_biofilm_MAG_28_02482	M	L	82.874	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_28
SB_biofilm_MAG_59_04544	SB_biofilm_MAG_28_06476	M	L	74.624	no	no	NA
SB_biofilm_MAG_59_04838	SB_biofilm_MAG_28_05757	M	L	73.861	no	no	NA
SB_biofilm_MAG_59_04858	SB_biofilm_MAG_28_01012	M	L	76.99	no	no	NA
SB_biofilm_MAG_59_05549	SB_biofilm_MAG_53_00163	M	G	76.182	no	no	NA
SB_biofilm_MAG_59_07620	SB_biofilm_MAG_28_05362	M	L	79.367	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_28
SB_biofilm_MAG_59_07792	SB_biofilm_MAG_28_04330	M	L	73.768	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_28
SB_biofilm_MAG_60_01206	SB_biofilm_MAG_8_03989	H	K	75.852	no	no	SB_biofilm_MAG_60-->SB_biofilm_MAG_8
SB_biofilm_MAG_60_03478	SB_biofilm_MAG_18_00638	H	K	71.188	no	no	NA
SB_biofilm_MAG_61_00129	SB_biofilm_MAG_37_02515	K	H	73.07	no	no	NA
SB_biofilm_MAG_61_00178	SB_biofilm_MAG_49_02220	K	I	74.183	no	no	NA
SB_biofilm_MAG_61_00513	SB_biofilm_MAG_43_03798	K	M	75.952	no	no	NA
SB_biofilm_MAG_61_01021	SB_biofilm_MAG_66_02554	K	I	74.644	no	no	NA
SB_biofilm_MAG_61_01427	SB_biofilm_MAG_41_02752	K	N	72.335	no	no	NA
SB_biofilm_MAG_61_01533	SB_biofilm_MAG_53_03244	K	G	73.846	no	no	NA
SB_biofilm_MAG_61_01921	SB_biofilm_MAG_27_03313	K	A	76.397	no	no	SB_biofilm_MAG_27-->SB_biofilm_MAG_61
SB_biofilm_MAG_61_02001	SB_biofilm_MAG_43_03795	K	M	76.773	no	no	NA
SB_biofilm_MAG_61_02002	SB_biofilm_MAG_53_02752	K	G	73.783	no	no	SB_biofilm_MAG_61-->SB_biofilm_MAG_53
SB_biofilm_MAG_61_02125	SB_biofilm_MAG_28_06449	K	L	73.073	no	no	NA
SB_biofilm_MAG_61_02134	SB_biofilm_MAG_26_00875	K	I	74.82	no	no	NA
SB_biofilm_MAG_61_02193	SB_biofilm_MAG_66_02019	K	I	73.451	no	no	NA
SB_biofilm_MAG_61_03004	SB_biofilm_MAG_67_00727	K	A	77.139	no	no	NA
SB_biofilm_MAG_62_02815	SB_biofilm_MAG_71_01602	E	F	69.151	no	no	NA
SB_biofilm_MAG_62_03059	SB_biofilm_MAG_9_00906	E	K	70.99	no	no	NA
SB_biofilm_MAG_62_03332	SB_biofilm_MAG_60_02213	E	H	70.306	no	no	NA
SB_biofilm_MAG_63_00315	SB_biofilm_MAG_65_03049	A	N	75.862	no	no	NA
SB_biofilm_MAG_64_00494	SB_biofilm_MAG_78_01485	A	K	80.247	no	no	NA
SB_biofilm_MAG_64_00664	SB_biofilm_MAG_65_02222	A	N	73.979	no	no	NA
SB_biofilm_MAG_64_00916	SB_biofilm_MAG_59_04122	A	M	73.177	no	no	NA
SB_biofilm_MAG_64_00941	SB_biofilm_MAG_65_01594	A	N	73.691	no	no	NA
SB_biofilm_MAG_64_02582	SB_biofilm_MAG_53_00507	A	G	73.234	no	no	NA
SB_biofilm_MAG_65_00164	SB_biofilm_MAG_78_00991	N	K	72.077	no	no	NA
SB_biofilm_MAG_65_00326	SB_biofilm_MAG_9_02861	N	K	72.011	no	no	NA
SB_biofilm_MAG_65_00692	SB_biofilm_MAG_28_01635	N	L	78.909	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_28
SB_biofilm_MAG_65_00861	SB_biofilm_MAG_33_01573	N	H	71.22	no	no	NA
SB_biofilm_MAG_65_00868	SB_biofilm_MAG_21_00214	N	A	76.916	no	no	SB_biofilm_MAG_21-->SB_biofilm_MAG_65
SB_biofilm_MAG_65_01084	SB_biofilm_MAG_40_00486	N	A	74.131	no	no	NA
SB_biofilm_MAG_65_01213	SB_biofilm_MAG_16_02659	N	A	76.667	no	no	NA
SB_biofilm_MAG_65_01372	SB_biofilm_MAG_43_04191	N	M	73.425	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_43
SB_biofilm_MAG_65_01518	SB_biofilm_MAG_75_02076	N	A	74.775	no	no	NA
SB_biofilm_MAG_65_01759	SB_biofilm_MAG_25_01485	N	A	74.12	no	no	NA
SB_biofilm_MAG_65_01885	SB_biofilm_MAG_16_02320	N	A	82.202	no	no	NA
SB_biofilm_MAG_65_01886	SB_biofilm_MAG_16_02321	N	A	82.332	no	no	NA
SB_biofilm_MAG_65_01906	SB_biofilm_MAG_67_02794	N	A	76.588	no	no	NA
SB_biofilm_MAG_65_02261	SB_biofilm_MAG_21_02818	N	A	78.199	no	no	NA
SB_biofilm_MAG_65_02323	SB_biofilm_MAG_52_02725	N	K	72.977	no	no	NA
SB_biofilm_MAG_65_02410	SB_biofilm_MAG_21_02981	N	A	77.266	no	no	NA
SB_biofilm_MAG_65_03323	SB_biofilm_MAG_18_02471	N	K	74.814	no	no	SB_biofilm_MAG_18-->SB_biofilm_MAG_65
SB_biofilm_MAG_65_03493	SB_biofilm_MAG_24_03616	N	A	73.201	no	no	NA
SB_biofilm_MAG_65_03763	SB_biofilm_MAG_47_04124	N	A	75.7	no	no	NA
SB_biofilm_MAG_65_03815	SB_biofilm_MAG_43_05091	N	M	71.914	no	no	NA
SB_biofilm_MAG_65_03828	SB_biofilm_MAG_57_01197	N	A	75.823	no	no	NA
SB_biofilm_MAG_65_03870	SB_biofilm_MAG_21_04081	N	A	75.472	no	no	NA
SB_biofilm_MAG_65_04078	SB_biofilm_MAG_43_05525	N	M	72.653	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_43
SB_biofilm_MAG_65_04218	SB_biofilm_MAG_79_02628	N	A	73.279	no	no	NA
SB_biofilm_MAG_65_04378	SB_biofilm_MAG_47_01617	N	A	75.189	no	no	NA
